algorithm,instance,run,memory,code,time,iterations,graph,nodes,edges,modularity,N,clusters,conductance,cut
clustre_fast,email,1,6144,0,0.00125408,0,email.graph,1133,10902,0.434399650,51629964,27,0.30204488,0.00217089
clustre_fast,email,2,6144,0,0.00125098,0,email.graph,1133,10902,0.434399650,51629964,27,0.30204488,0.00217089
clustre_fast,email,3,6144,0,0.00125098,0,email.graph,1133,10902,0.434399650,51629964,27,0.30204488,0.00217089
clustre_fast,email,4,6144,0,0.00125599,0,email.graph,1133,10902,0.434399650,51629964,27,0.30204488,0.00217089
clustre_fast,email,5,6144,0,0.00126195,0,email.graph,1133,10902,0.434399650,51629964,27,0.30204488,0.00217089
clustre_strong,email,1,14336,0,,0,email.graph,1133,10902,0.533799076,63443944,8,0.16482458,0.00142822
clustre_strong,email,2,14336,0,,0,email.graph,1133,10902,0.533799076,63443944,8,0.16482458,0.00142822
clustre_strong,email,3,14336,0,,0,email.graph,1133,10902,0.533799076,63443944,8,0.16482458,0.00142822
clustre_strong,email,4,14336,0,,0,email.graph,1133,10902,0.533799076,63443944,8,0.16482458,0.00142822
clustre_strong,email,5,14336,0,.001840119,0,email.graph,1133,10902,0.533799076,63443944,8,0.16482458,0.00142822
walktrap,football,1,20480,0,0.0067,0,football.graph,115,1226,0.602914290,906226,10,0.14707436,0.01520844
walktrap,football,2,20480,0,0.0065,0,football.graph,115,1226,0.602914290,906226,10,0.14707436,0.01520844
walktrap,football,3,20480,0,0.0064,0,football.graph,115,1226,0.602914290,906226,10,0.14707436,0.01520844
walktrap,football,4,20480,0,0.0062,0,football.graph,115,1226,0.602914290,906226,10,0.14707436,0.01520844
walktrap,football,5,20480,0,0.0061,0,football.graph,115,1226,0.602914290,906226,10,0.14707436,0.01520844
vieclus,football,1,20480,0,0.000317097,0,football.graph,115,1226,0.604569562,908714,10,0.14704979,0.01523999
vieclus,football,2,22528,0,0.000242949,0,football.graph,115,1226,0.604569562,908714,10,0.14704979,0.01523999
vieclus,football,3,20480,0,0.000252008,0,football.graph,115,1226,0.604569562,908714,10,0.14704979,0.01523999
vieclus,football,4,20480,0,0.000277996,0,football.graph,115,1226,0.604569562,908714,10,0.14704979,0.01523999
vieclus,football,5,22528,0,0.000290155,0,football.graph,115,1226,0.604569562,908714,10,0.14704979,0.01523999
ucode,football,1,371312,0,2.1654930114746094,1000,football.graph,115,1226,0.000000000,0,1,0.00000000,0.00000000
ucode,football,2,371312,0,2.1678199768066406,1000,football.graph,115,1226,0.000000000,0,1,0.00000000,0.00000000
ucode,football,3,371312,0,2.1747260093688965,1000,football.graph,115,1226,0.000000000,0,1,0.00000000,0.00000000
ucode,football,4,371312,0,2.1643717288970947,1000,football.graph,115,1226,0.000000000,0,1,0.00000000,0.00000000
ucode,football,5,371312,0,2.1778652667999268,1000,football.graph,115,1226,0.000000000,0,1,0.00000000,0.00000000
magi,football,1,402040,0,3.188386917114258,100,football.graph,115,1226,0.005470115,8222,3,0.45071685,0.03028969
magi,football,2,402040,0,3.2681238651275635,100,football.graph,115,1226,0.005470115,8222,3,0.45071685,0.03028969
magi,football,3,402040,0,3.284562587738037,100,football.graph,115,1226,0.005470115,8222,3,0.45071685,0.03028969
magi,football,4,402040,0,3.2842304706573486,100,football.graph,115,1226,0.005470115,8222,3,0.45071685,0.03028969
magi,football,5,402040,0,3.3227663040161133,100,football.graph,115,1226,0.005470115,8222,3,0.45071685,0.03028969
louvain,football,1,18432,0,0.0050,0,football.graph,115,1226,0.604569562,908714,10,0.14704979,0.01523999
louvain,football,2,18432,0,0.0047,0,football.graph,115,1226,0.604346021,908378,10,0.14696063,0.01523236
louvain,football,3,18432,0,0.0048,0,football.graph,115,1226,0.604346021,908378,10,0.14696063,0.01523236
louvain,football,4,18432,0,0.0045,0,football.graph,115,1226,0.604407228,908470,9,0.14093002,0.01475516
louvain,football,5,18432,0,0.0047,0,football.graph,115,1226,0.604569562,908714,10,0.14704979,0.01523999
leiden,football,1,18432,0,0.0052,0,football.graph,115,1226,0.604569562,908714,10,0.14704979,0.01523999
leiden,football,2,18432,0,0.0048,0,football.graph,115,1226,0.604569562,908714,10,0.14704979,0.01523999
leiden,football,3,18432,0,0.0050,0,football.graph,115,1226,0.604569562,908714,10,0.14704979,0.01523999
