algorithm,instance,run,memory,code,time,iterations,graph,nodes,edges,modularity,N,clusters,conductance,cut,f1,accuracy,tp,fp,tn,fn,ari,nmi,purity,invpurity
gnns,cora,2,1371980,0,36.39763355255127,50,cora.graph,2708,10556,0.761767245,84883066,52,0.10484627,0.00013973,0.84148497,0.74516862,7140,1280,726,1410,0.11389712,0.32890372,0.61189069,0.24372230
dmon,cora,1,663708,0,55.5971,1000,cora.graph,2708,10556,0.735403386,81945364,7,0.05902986,0.00009665,0.88115166,0.79821902,7896,1476,530,654,0.33549490,0.44533969,0.61669129,0.58862629
dmon,cora,2,663708,0,55.4243,1000,cora.graph,2708,10556,0.739230626,82371830,7,0.05726110,0.00009538,0.89153940,0.81564987,7998,1394,612,552,0.42832322,0.49986361,0.71898080,0.68279173
dgcluster,cora,1,550912,0,44.77768301963806,300,cora.graph,2708,10556,0.789677270,87993056,20,0.05551534,0.00008116,0.88256228,0.79992421,7936,1498,508,614,0.35623229,0.48997336,0.73153619,0.53138848
dgcluster,cora,2,550912,0,43.59000563621521,300,cora.graph,2708,10556,0.772295838,86056258,11,0.04477206,0.00007193,0.88447012,0.80295567,7962,1492,514,588,0.37216864,0.47044005,0.68870015,0.59896603
commdgi,cora,1,762048,0,931.4343,1001,cora.graph,2708,10556,0.676960629,75433138,5,0.04540283,0.00008116,0.89263668,0.81546040,8098,1496,510,452,0.43019292,0.50849922,0.65546529,0.77400295
commdgi,cora,2,762048,0,936.7202,1001,cora.graph,2708,10556,0.724546980,80735644,6,0.04633053,0.00008037,0.89795019,0.82455476,8148,1450,556,402,0.51872550,0.54558739,0.73190547,0.78286558
lim,coauthor_cs,1,7401920,0,3633.7698,90,coauthor_cs.graph,18333,163788,0.563399503,15114041808,3,0.05038929,0.00003732,0.89054694,0.81298996,124608,22888,8550,7742,0.25015270,0.38352865,0.36551574,0.82474227
lim,coauthor_cs,2,7411304,0,3629.3957,90,coauthor_cs.graph,18333,163788,0.175327892,4703435284,4,0.28355501,0.00019906,0.62825610,0.52042885,66374,12572,18866,65976,0.05134624,0.04878768,0.25844106,0.51830033
vieclus,coauthor_cs,1,58104,0,2545.01,0,coauthor_cs.graph,18333,163788,0.759310109,20369639446,34,0.06490982,0.00002346,0.91512725,0.85946467,124094,14762,16676,8256,0.51703990,0.65921192,0.76806851,0.71739486
vieclus,coauthor_cs,2,58468,0,2811.52,0,coauthor_cs.graph,18333,163788,0.759294146,20369211204,36,0.06563646,0.00002254,0.91371225,0.85710797,123914,14968,16470,8436,0.51615831,0.65727444,0.76626848,0.71090383
ucode,coauthor_cs,1,7746732,0,3607.8164904117584,383,coauthor_cs.graph,18333,163788,0.558306168,14977405424,14,0.28073147,0.00012413,0.88822990,0.82142770,116216,13114,18324,16134,0.44756136,0.61239180,0.59188349,0.84983363
ucode,coauthor_cs,2,7746732,0,3605.128108739853,383,coauthor_cs.graph,18333,163788,0.600066195,16097681148,14,0.23152839,0.00008097,0.85937451,0.77927565,110464,14266,17172,21886,0.47087982,0.60520775,0.63704795,0.74575901
magi,coauthor_cs,1,6147148,0,3629.396939277649,21,coauthor_cs.graph,18333,163788,0.717204938,19240104686,15,0.10687327,0.00005488,0.89260504,0.82833907,116842,12608,18830,15508,0.52737204,0.69675751,0.81328751,0.64670267
magi,coauthor_cs,2,6147148,0,3635.5791063308716,21,coauthor_cs.graph,18333,163788,0.717124791,19237954638,15,0.10616624,0.00005415,0.89051886,0.82484675,116674,13012,18426,15676,0.54944096,0.70487630,0.82174221,0.66764850
infomap,coauthor_cs,1,78348,0,1.4362,0,coauthor_cs.graph,18333,163788,0.688317158,18465146406,9,0.06888364,0.00003432,0.90220155,0.83466432,124908,19638,11800,7442,0.51223610,0.58167235,0.56788305,0.85670649
infomap,coauthor_cs,2,78348,0,1.4402,0,coauthor_cs.graph,18333,163788,0.688317158,18465146406,9,0.06888364,0.00003432,0.90220155,0.83466432,124908,19638,11800,7442,0.51223610,0.58167235,0.56788305,0.85670649
gnns,coauthor_cs,1,8307308,0,668.7921011447906,150,coauthor_cs.graph,18333,163788,0.696897249,18695320290,131,0.17278099,0.00006112,0.84360234,0.75749139,107124,14494,16944,25226,0.23304230,0.47063571,0.69644903,0.40249823
gnns,coauthor_cs,2,8307308,0,665.1996130943298,150,coauthor_cs.graph,18333,163788,0.704417102,18897051712,120,0.15670010,0.00005525,0.85409135,0.77279166,108918,13782,17656,23432,0.28587287,0.54079936,0.78148694,0.44608084
dmon,coauthor_cs,1,3499280,0,868.5905,1000,coauthor_cs.graph,18333,163788,0.726200488,19481423890,15,0.10282385,0.00004691,0.90676112,0.84859697,120582,13030,18408,11768,0.55567322,0.71967285,0.79294169,0.73086783
dmon,coauthor_cs,2,3499280,0,859.6334,1000,coauthor_cs.graph,18333,163788,0.727649553,19520297250,15,0.12069630,0.00005052,0.90879841,0.85185728,120892,12806,18632,11458,0.57321470,0.72410001,0.80046910,0.73555883
dgcluster,coauthor_cs,1,5853184,0,800.5039436817169,300,coauthor_cs.graph,18333,163788,0.727107320,19505751036,11,0.07192378,0.00003633,0.91287460,0.85455589,124800,16272,15166,7550,0.66579914,0.69644807,0.70850379,0.82986963
dgcluster,coauthor_cs,2,5853184,0,833.5591707229614,300,coauthor_cs.graph,18333,163788,0.717672228,19252640470,7,0.06517005,0.00003869,0.91983330,0.86493516,126914,16686,14752,5436,0.63237243,0.68249466,0.65952108,0.90525282
commdgi,coauthor_cs,1,9522124,0,3613.4276,84,coauthor_cs.graph,18333,163788,0.629215010,16879642104,10,0.21256156,0.00005408,0.91016669,0.84779105,126292,18872,12566,6058,0.48904392,0.64690296,0.50117275,0.93770796
commdgi,coauthor_cs,2,9522124,0,3607.2793,83,coauthor_cs.graph,18333,163788,0.604821068,16225237810,13,0.26098325,0.00006827,0.90323329,0.83697218,124620,18972,12466,7730,0.47312610,0.62457283,0.55304642,0.90023455
lim,coauthor_physics,1,24464964,0,3679.5229,26,coauthor_physics.graph,34493,495924,0.105122092,25853791992,4,0.33709423,0.00022118,0.72276771,0.57629395,273908,22108,11890,188018,-0.04110961,0.05798034,0.50601571,0.76574957
lim,coauthor_physics,2,24450980,0,3680.4618,26,coauthor_physics.graph,34493,495924,0.144754513,35601013806,4,0.29672380,0.00017956,0.61844125,0.46877344,213502,15024,18974,248424,0.00122007,0.05719695,0.50520395,0.54002261
vieclus,coauthor_physics,1,133784,0,3321.58,0,coauthor_physics.graph,34493,495924,0.695698415,171100495292,28,0.08805078,0.00003521,0.86833265,0.77523169,367560,17102,16896,94366,0.22544987,0.52380422,0.90284985,0.41289537
vieclus,coauthor_physics,2,134680,0,3511.06,0,coauthor_physics.graph,34493,495924,0.695712822,171104038698,27,0.08418797,0.00003562,0.86810419,0.77487680,367406,17124,16874,94520,0.22512993,0.52486070,0.90340069,0.41211260
ucode,coauthor_physics,1,24206428,0,3625.135151863098,117,coauthor_physics.graph,34493,495924,0.480175876,118094749808,11,0.34068720,0.00013330,0.85793718,0.75868480,361364,19112,14886,100562,0.34841013,0.47844810,0.71533355,0.76038617
ucode,coauthor_physics,2,24206428,0,3625.178377389908,117,coauthor_physics.graph,34493,495924,0.432801632,106443499128,12,0.36268216,0.00007976,0.93245030,0.87655770,422524,21816,12182,39402,0.49638212,0.46800276,0.70127272,0.83393732
magi,coauthor_physics,1,14502708,0,3691.426192522049,5,coauthor_physics.graph,34493,495924,0.620192248,152530462330,5,0.06376142,0.00003386,0.92000251,0.85623604,409966,19336,14662,51960,0.41619594,0.57035616,0.75490679,0.63412866
magi,coauthor_physics,2,14502708,0,3673.2698254585266,5,coauthor_physics.graph,34493,495924,0.618578050,152133465340,5,0.06431106,0.00003409,0.92047845,0.85717570,409936,18840,15158,51990,0.42379023,0.57789353,0.76090801,0.63943409
infomap,coauthor_physics,1,158676,0,3.0101,0,coauthor_physics.graph,34493,495924,0.591980033,145591932666,14,0.09619065,0.00003156,0.92856173,0.87062937,416966,19198,14800,44960,0.49416558,0.54787973,0.86547995,0.67741281
infomap,coauthor_physics,2,158676,0,3.0360,0,coauthor_physics.graph,34493,495924,0.591980033,145591932666,14,0.09619065,0.00003156,0.92856173,0.87062937,416966,19198,14800,44960,0.49416558,0.54787973,0.86547995,0.67741281
gnns,coauthor_physics,1,8109868,0,1906.7524316310883,350,coauthor_physics.graph,34493,495924,0.614511595,151133359072,182,0.19293506,0.00005801,0.78702409,0.66210145,309620,15266,18732,152306,0.07275411,0.28588954,0.75438495,0.18586380
gnns,coauthor_physics,2,8109868,0,1905.8363282680511,350,coauthor_physics.graph,34493,495924,0.648922312,159596351892,170,0.17777174,0.00005184,0.82172236,0.70833837,333344,16060,17938,128582,0.11327605,0.38910114,0.84277969,0.23167019
dmon,coauthor_physics,1,7376172,0,2060.9176,1000,coauthor_physics.graph,34493,495924,0.634182548,155971245146,5,0.06267131,0.00003294,0.92348798,0.86199498,413030,19544,14454,48896,0.38513091,0.53833504,0.74963036,0.60696373
dmon,coauthor_physics,2,7376172,0,2003.4662,1000,coauthor_physics.graph,34493,495924,0.632677992,155601213844,5,0.06332539,0.00003317,0.92251731,0.86031731,412380,19726,14272,49546,0.38488214,0.54339913,0.75105094,0.60522425
dgcluster,coauthor_physics,1,13195264,0,1833.2837219238281,300,coauthor_physics.graph,34493,495924,0.660487717,162440754538,9,0.08363085,0.00003808,0.89894468,0.82254942,391414,17490,16508,70512,0.33378768,0.56637545,0.84991158,0.51285768
dgcluster,coauthor_physics,2,13195264,0,1961.8387067317963,300,coauthor_physics.graph,34493,495924,0.659261503,162139178832,10,0.08467864,0.00003625,0.89810795,0.82119438,390800,17548,16450,71126,0.31916575,0.55927542,0.84591076,0.48763517
commdgi,coauthor_physics,1,31014228,0,3660.0663,27,coauthor_physics.graph,34493,495924,0.523038079,128636306250,5,0.13572577,0.00003378,0.93545343,0.88194965,424230,20848,13150,37696,0.53768435,0.57489387,0.73258342,0.78389818
commdgi,coauthor_physics,2,31014228,0,3664.3544,27,coauthor_physics.graph,34493,495924,0.425835803,104730318814,5,0.22904931,0.00004414,0.95872815,0.92329067,441850,17966,16032,20076,0.63478863,0.58932869,0.71347810,0.91769345
